AARDVARKS,AARDVARK(South African) a nocturnal
ABLATIVAL,relating to the ablative case [adj]
ABLATIVES,ABLATIVEa grammatical case indicating direction from or time when [n]
ABLEGATES,ABLEGATEa papal envoy [n]
ABLUTIONS,ABLUTIONthe act of washing one's body or part of it [n]
ABNEGATED,ABNEGATEto renounce or repudiate [v]
ABNEGATES,ABNEGATEto renounce or repudiate [v]
ABNEGATOR,one who abnegatesrenounce [n -S]
ABNORMALS,ABNORMALa mentally deficient person [n]
ABNORMITY,a deviation from the norm (rule); an irregularity [n ABNORMITIES]
ABNORMOUS,deviating from the norm (rule); abnormal; irregular [adj]
ABODEMENT,(obsolete) a foreboding; an evil omen [n -S]
ABOIDEAUS,ABOIDEAU(French) a tide gate
ABOIDEAUX,ABOIDEAU(French) a tide gate
ABOITEAUS,ABOITEAU(French) a tide gate
ABOITEAUX,ABOITEAU(French) a tide gate
ABOLISHED,ABOLISHto put an end to [v]
ABOLISHER,one who abolishes [n -S]
ABOLISHES,ABOLISHto put an end to [v]
ABOLITION,the act of doing away with [n -S]
ABOMINATE,to loathe [v ABOMINATEDABOMINATING
ABONDANCE,a call in whist to make nine tricksalso ABUNDANCE [n -S]
ABORIGENS,ABORIGENan original or native inhabitant of a country
ABORIGINE,a member of the original (indigenous) population of a regionalso ABORIGEN
ABORIGINS,ABORIGINan original or native inhabitant of a country
ABORTIONS,ABORTIONthe induced expulsion of a nonviable fetus [n]
ABORTUARY,an antiabortion term for an abortion clinic [n ABORTUARIES]
ABORTUSES,ABORTUSan aborted fetus [n]
ABOUNDING,ABOUNDto exist in great plenty [v]
ABRACHIAS,ABRACHIAa congenital lack of arms [n]
ABRADABLE,capable of being abraded (worn away by friction) [adj]
ABRADANTS,ABRADANTa material used for grinding
ABRAIDING,ABRAID(Spenser) to awake
ABRASAXES,ABRASAXa mystic word
ABRASIONS,ABRASIONa graze on the skin [n]
ABRASIVES,ABRASIVEan abrasive substance [n]
ABRAXASES,ABRAXASa gem engraved with a mystical word and bearing a human-animal figure
ABREACTED,ABREACTto resolve a neurosis by reviving forgotten or repressed ideas of the event first causing it [v]
ABRICOCKS,ABRICOCK(obsolete) an apricot
ABRIDGERS,ABRIDGERone who abridges [n]
ABRIDGING,ABRIDGEto shorten [v]
ABROGABLE,that can be abrogated [adj]
ABROGATED,ABROGATEto repeal (a law
ABROGATES,ABROGATEto repeal (a law
ABROGATOR,one who abrogatesabolishes authoritatively or formally [n -S]
ABROOKING,"ABROOKEan erroneous spelling of Shakespeare's """"abrook"""" (to brook; to tolerate or endure) found in late 20th century editions of Chambers [v]"
ABRUPTEST,ABRUPTsudden [adj]
ABRUPTION,a suddenviolent separation [n -S]
ABSCESSED,ABSCESSto form an abscess [v]
ABSCESSES,ABSCESSto form an abscess [v]
ABSCINDED,ABSCINDto cut off [v]
ABSCISING,ABSCISEto cut off
ABSCISINS,ABSCISINabscisic acid
ABSCISSAE,ABSCISSA(Latin) the distance of a point from the y-axis measured parallel to the x-axis
ABSCISSAS,ABSCISSA(Latin) the distance of a point from the y-axis measured parallel to the x-axis
ABSCISSES,ABSCISSthe distance of a point from the y-axis measured parallel to the x-axis
ABSCISSIN,abscisic acida plant hormone which triggers the fall of autumn leaves in certain trees
ABSCONDED,ABSCONDto depart suddenly and secretly [v]
ABSCONDER,one who absconds [n -S]
ABSEILERS,ABSEILERone that abseils [n]
ABSEILING,the act or sport of descending on a rope [n -S]
ABSENTEES,ABSENTEEone who is not present [n]
ABSENTERS,ABSENTERone who keeps away [n]
ABSENTING,ABSENTto take or keep away [v]
ABSINTHES,ABSINTHE(French) the wormwood plant or other species of Artemisia; a liqueur made from this
ABSOLUTER,ABSOLUTEunconditional
ABSOLUTES,ABSOLUTEsomething unconditional [n]
ABSOLVENT,something that absolves [n -S]
ABSOLVERS,ABSOLVERone who absolves [n]
ABSOLVING,ABSOLVEto free from the consequences of an action [v]
ABSORBANT,able to absorb [adj] / an absorbant substancealso ABSORBENT [n -S]
ABSORBATE,an absorbed substance [n -S]
ABSORBENT,able to absorb [adj] / an absorbent substancealso ABSORBANT [n -S]
ABSORBERS,ABSORBERsomething that absorbs [n]
ABSORBING,ABSORBto take up or in [v]
ABSTAINED,ABSTAINto refrain deliberately and often with an effort of self-denial from an action or practice [v]
ABSTAINER,one who abstains [n -S]
ABSTERGED,ABSTERGEto cleanse by wiping [v]
ABSTERGES,ABSTERGEto cleanse by wiping [v]
ABSTINENT,tending to abstainesp. from alcohol [adj]
ABSTRACTS,ABSTRACTto draw away [v]
ABSTRICTS,ABSTRICTto set free spores etc. by constriction of the stalk [v]
ABSTRUSER,ABSTRUSEdifficult to understand [adj]
ABSURDEST,ABSURDridiculous [adj]
ABSURDISM,the doctrine that we live in an irrational universe [n -S]
ABSURDIST,a person holding the doctrine of absurdism [n -S]
ABSURDITY,the quality of being absurd [n ABSURDITIES]
ABUILDING,in the process of being built [adv]
ABUNDANCE,the state of being abundantalso ABUNDANCY [n -S]
ABUNDANCY,the state of being abundantalso ABUNDANCE [n ABUNDANCIES]
ABUSIVELY,ABUSIVEin the manner of wrong or improper use [adv]
ABUTILONS,ABUTILON(Arabic) a flowering plant of the mallow family [n]
ABUTMENTS,ABUTMENTa buttress of an arch
ABYSMALLY,ABYSMALimmeasurably deep [adv]
ACADEMIAS,ACADEMIA(Greek) the academic life or world
ACADEMICS,ACADEMICa college student or teacher [n]
ACADEMIES,ACADEMYa secondary school [n]
ACADEMISM,the doctrines of the Academic philosophy [n -S]
ACADEMIST,a person belonging to an academy or society [n -S]
ACALCULIA,an inability to do simple mathematical calculationsalso DYSCALCULIA [n -S]
ACALEPHAE,all cnidarians (jellyfishes) collectively [n]
ACALEPHAN,any cnidarian (a jellyfish)also ACALEPH
ACALEPHES,ACALEPHE(Greek) any cnidarian (a jellyfish)
ACANTHINE,ofpertaining to
ACANTHINS,ACANTHINa deposit within the skeletons of tiny animals [n]
ACANTHOID,spine-shaped [adj]
ACANTHOUS,spinyprickly [adj]
ACARBOSES,ACARBOSEa drug for treating diabetes [n]
ACARIASES,ACARIASISan irritating itching insect infestation [n]
ACARIASIS,an irritating itching insect infestation [n ACARIASES]
ACARICIDE,a substance that kills mites and ticks [n -S]
ACARIDANS,ACARIDANa mite or tick
ACARIDEAN,relating to the Acaridamites and ticks [adj] / a mite or tick
ACARIDIAN,relating to the Acaridamites and ticks [adj] / a mite or tick
ACAROLOGY,the study of mites [n ACAROLOGIES]
ACATHISIA,a psychological condition characterised by agitation and a frequent desire to alter the posturealso AKATHISIA [n -S]
ACCEDENCE,the act of acceding [n -S]
ACCENDING,ACCEND(obsolete) to kindle [v]
ACCENSION,the act of kindling or the state of being kindled [n -S]
ACCENTING,ACCENTto pronounce with prominence [v]
ACCENTORS,ACCENTORa song bird [n]
ACCENTUAL,of or pertaining to accent [adj]
ACCEPTANT,one who accepts [n -S]
ACCEPTEES,ACCEPTEEone who is accepted [n]
ACCEPTERS,ACCEPTERa person who accepts
ACCEPTING,ACCEPTto receive with favour [v]
ACCEPTIVE,ready to receive [adj]
ACCEPTORS,ACCEPTORsomeone who accepts something [n]
ACCESSARY,accompanyingas a subordinate
ACCESSING,ACCESSto have entrance to [v]
ACCESSION,the act of acceding and becoming joined [n -S] / to record the addition of (a book etc.) to a library [v -ED-ING
ACCESSORY,accompanyingas a subordinate; additional
ACCIDENCE,the science of inflections in grammar [n -S]
ACCIDENTS,ACCIDENTa mishap [n]
ACCINGING,ACCINGEto gird up one's loins
ACCIPITER,(Latin) a bird belonging to the Accipiter genus of hawks [n -S]
ACCLAIMED,ACCLAIMto shout approval of [v]
ACCLAIMER,one who acclaims [n -S]
ACCLIMATE,(US) to habituate to a climate not nativealso ACCLIMATIZE [v ACCLIMATED
ACCLIVITY,an upward slope [n ACCLIVITIES]
ACCLIVOUS,sloping upwardsalso ACCLIVITOUS [adj]
ACCLOYING,ACCLOY(Spenser) to injure with a horseshoe nail; to clog
ACCOASTED,ACCOASTto lie or sail along the coast or side of; to accost [v]
ACCOLADED,ACCOLADEto give an accolade [v]
ACCOLADES,ACCOLADEto give an accolade [v]
ACCOMPANY,to escort [v ACCOMPANIEDACCOMPANYING
ACCOMPTED,ACCOMPTto explain in detail
ACCORAGED,ACCORAGE(Spenser) to encourage [v]
ACCORAGES,ACCORAGE(Spenser) to encourage [v]
ACCORDANT,agreeing; consonant [adj]
ACCORDERS,ACCORDERone who accords [n]
ACCORDING,ACCORDto bring into agreement [v]
ACCORDION,a musical instrument played by squeezing [n -S]
ACCOSTING,ACCOSTto approach and speak to [v]
ACCOUNTED,ACCOUNTto explain in detail
ACCOURAGE,(Spenser) to encouragealso ACCORAGE
ACCOURTED,ACCOURTto entertain [v]
ACCOUTERS,ACCOUTER(US) to dress or equip
ACCOUTRED,ACCOUTREto dress or equip
ACCOUTRES,ACCOUTREto dress or equip
ACCREDITS,ACCREDITto accept as true [v]
ACCRETING,ACCRETEto grow together [v]
ACCRETION,accumulation; the addition of parts to form a whole [n -S]
ACCRETIVE,relating to accretionalso ACCRETIONARY [adj]
ACCREWING,ACCREW(Spenser) to accrue [v]
ACCROIDES,a red alcohol-soluble resin [n ACCROIDES]
ACCRUABLE,capable of being accrued [adj]
ACCUMBENT,of plantslying against something [adj]
ACCURSING,ACCURSEto make cursed [v]
ACCUSABLE,liable to be accused; chargeable with a crime or fault [adj]
ACCUSABLY,ACCUSABLEliable to be accused; chargeable with a crime or fault [adv]
ACCUSANTS,ACCUSANTan accuser [n]
ACCUSTOMS,ACCUSTOMto make familiar [v]
ACELDAMAS,ACELDAMA(Aramaic) a place of bloodshed [n]
ACELLULAR,not containing or made up of cells [adj]
ACENTRICS,ACENTRICan acentric chromosome or fragment [n]
ACEPHALIC,headless [adj]
ACERBATED,ACERBATEto embitter
ACERBATES,ACERBATEto embitter
ACERVULUS,(Latin) the spore-producing organ of certain fungi [n ACERVULI]
ACESCENCE,the act of turning souracetous fermentation
ACESCENCY,the act of turning souracetous fermentation
ACESCENTS,ACESCENTsomething that is slightly sour [n]
ACETABULA,ACETABULUM(Latin) a cuplike hollow on the hipbone to receive the thighbone [n]
ACETAMIDE,a white crystalline solidderived from ammonia by replacement of an equivalent of hydrogen by acetyl
ACETAMIDS,ACETAMIDan amide of acetic acid [n]
ACETIFIED,ACETIFYto convert to vinegar [v]
ACETIFIER,an agent that acetifiesconverts into acid or vinegar [n -S]
ACETIFIES,ACETIFYto convert to vinegar [v]
ACETOXYLS,ACETOXYLa univalent radical [n]
ACETYLATE,to introduce the acetyl radical into (a compound) [v ACETYLATEDACETYLATING
ACETYLENE,a colourless toxic inflammable gas formed by the action of water on calcium carbideaka ethyne [n -S]
ACETYLIDE,any of a class of carbides in which the carbon is present as a diatomic divalent ion [n -S]
ACHAENIUM,a small one-seeded fruit; a naked seedalso ACHENE
ACHALASIA,(Greek) failure of the muscles of the lower part of the oesophagus to relaxwhich prevents food from passing into the stomach [n -S]
ACHENIUMS,ACHENIUMa small one-seeded fruit; a naked seed
ACHIEVERS,ACHIEVERone who achieves [n]
ACHIEVING,ACHIEVEto carry out successfully [v]
ACHILLEAS,ACHILLEAa plant of the yarrow genus [n]
ACHIMENES,(Latin) a genus of herbaceous perennial plants [n ACHIMENES]
ACHROMATS,ACHROMATa light transmitting lens [n]
ACHROMOUS,colourlessalso ACHROMIC [adj]
ACICLOVIR,a drug used in the treatment of forms of herpes and of HIValso ACYCLOVIR [n -S]
ACICULATE,marked as if with needle scratchesalso ACICULATED [adj]
ACICULUMS,ACICULUM(Latin) a bristlelike part [n]
ACIDEMIAS,ACIDEMIAa condition of increased acidity of the blood [n]
ACIDHEADS,ACIDHEADa person who takes hallucinogenic drugs [n]
ACIDIFIED,ACIDIFYto render acid [v]
ACIDIFIER,an agent that acidifies [n -S]
ACIDIFIES,ACIDIFYto render acid [v]
ACIDITIES,ACIDITYsourness [n]
ACIDOPHIL,a substancetissue or organism that stains readily with acid stains
ACIDULATE,to make acidulous [v ACIDULATEDACIDULATING
ACIDULENT,having an acid qualityalso ACIDULOUS [adj]
ACIDULOUS,having an acid qualityalso ACIDULENT [adj]
ACIDURIAS,ACIDURIAexcessive acid in the urine [n]
ACIERAGES,ACIERAGE(French) the covering of a metal plate with an iron film [n]
ACIERATED,ACIERATEto turn into steel [v]
ACIERATES,ACIERATEto turn into steel [v]
ACINIFORM,shaped like cluster of grapes [adj]
ACKNOWING,ACKNOW(obsolete) to recognize
ACOLUTHIC,pertaining to an afterimage or other aftersensationalso ACOLOUTHIC [adj]
ACONITINE,a poisonous alkaloid obtained from aconite [n -S]
ACONITUMS,ACONITUM(Latin) the poisonous herb aconite; also
ACOSMISMS,ACOSMISMa doctrine denying the existence of a universe distinct from God [n]
ACOSMISTS,ACOSMISTone who denies the existence of a universe distinct from God [n]
ACOUCHIES,ACOUCHY(Tupi) a burrowing rodent
ACOUSTICS,ACOUSTICa sense of hearing [n]
ACQUAINTS,ACQUAINTto cause to know [v]
ACQUIESCE,to agreeaccept [v ACQUIESCED
ACQUIGHTS,ACQUIGHT(obsolete) to free from a charge
ACQUIRALS,ACQUIRALgetting or attainment [n]
ACQUIREES,ACQUIREEone that is acquired [n]
ACQUIRERS,ACQUIRERone who acquires [n]
ACQUIRING,ACQUIREto come into possession of [v]
ACQUITING,ACQUITE(obsolete) to free from a charge
ACQUITTAL,the act of acquitting [n -S]
ACQUITTED,ACQUITto free from a charge [v]
ACQUITTER,one who acquits [n -S]
ACRIDINES,ACRIDINEa chemical compound found in coal-tar
ACRIDNESS,the quality of being acrid [n -ES]
ACRITARCH,any of a group of fossil one-celled marine organisms [n -S]
ACRITICAL,not critical [adj]
ACROBATIC,like an acrobatagile [adj ACROBATICALLY]
ACRODONTS,ACRODONTan acrodont animal [n]
ACRODROME,of the veins in a leafrunning parallel to the edges of the leaf and fusing at the tip
ACROGENIC,like or relating to an acrogena cryptogam with a distinct permanent stem [adj]
ACROLECTS,ACROLECTa variety of language closest to the prestige form [n]
ACROLEINS,ACROLEINa flammable liquid
ACROLITHS,ACROLITH(Greek) a statue with a wooden trunk and stone head and extremities [n]
ACRONICAL,occurring at nightfall or sunset(esp. of the rising or setting of stars)
ACRONYCAL,occurring at nightfall or sunset(esp. of the rising or setting of stars)
ACRONYMIC,relating to an acronyma word fabricated from the initial letters of a name or phrase [adj ACRONYMICALLY]
ACROPETAL,in the direction of the tip of the plant [adj ACROPETALLY]
ACROPHOBE,someone with an abnormal fear of heights [n -S]
ACROPHONY,the use of a word starting with a letter of the alphabet as the name of the letter [n ACROPHONIES]
ACROPOLIS,(Greek) a citadelesp. that of Athens [n -ES]
ACROSOMAL,relating to an acrosomea structure containing enzymes found at the tip of the spine [adj]
ACROSOMES,ACROSOMEa thin sac at the head of the sperm [n]
ACROSPIRE,the first real shoot developing in a germinating grain seed [n -S]
ACROSTICS,ACROSTICa poem in acronym form [n]
ACROTERIA,ACROTERIUMa pedestal or ornament at the angle of a pediment
ACROTISMS,ACROTISMabsence of pulsation [n]
ACRYLATES,ACRYLATEa compound used in plasters and resins [n]
ACTINALLY,ACTINALpertaining to the part of a radiate animal
ACTINIANS,ACTINIANa sea-anemone
ACTINIDES,ACTINIDEany element of a group from element number 89 (actinium) to 103 (lawrencium)
ACTINISMS,ACTINISMthe property of radiant energy that effects chemical changes [n]
ACTINIUMS,ACTINIUMa radioactive metallic chemical element
ACTINOIDS,ACTINOIDany element of a group from element number 89 (actinium) upwards
ACTINOPOD,any protozoan of the phylum Actinopodasuch as a radiolarian or a heliozoan
ACTIONERS,ACTIONERa film with a lot of action [n]
ACTIONING,ACTIONto carry out [v]
ACTIONIST,a shareholder in a joint-stock company [n -S]
ACTIVATED,ACTIVATEto set in motion [v]
ACTIVATES,ACTIVATEto set in motion [v]
ACTIVATOR,one who activates [n -S]
ACTIVISED,ACTIVISEto activate
ACTIVISES,ACTIVISEto activate
ACTIVISMS,ACTIVISMa policy of direct action [n]
ACTIVISTS,ACTIVISTan advocate of activism [n]
ACTIVIZED,ACTIVIZEto activate
ACTIVIZES,ACTIVIZEto activate
ACTORLIER,ACTORLYin the manner of an actor [adj]
ACTRESSES,ACTRESSa female actor [n]
ACTUALISE,to make actualrealise
ACTUALIST,a person who deals with or considers actual facts [n -S]
ACTUALITE,(French) the real state of affairs [n -S]
ACTUALITY,the state of being actual [n ACTUALITIES]
ACTUALIZE,to make actualrealise
ACTUARIAL,of or pertaining to actuaries [adj ACTUARIALLY]
ACTUARIES,ACTUARYa person who compiles statistics of mortality
ACTUATING,ACTUATEto put into action [v]
ACTUATION,a bringing into action; an effecting [n -S]
ACTUATORS,ACTUATORone who actuates [n]
ACULEATED,prickly; pointed; stingingalso ACULEATE [adj]
ACULEATES,ACULEATEa stinging insect [n]
ACUMINATE,to sharpen [v ACUMINATEDACUMINATING
ACUMINOUS,characterized by acumen [adj]
ACUPOINTS,ACUPOINTan acupuncture site [n]
ACUTANCES,ACUTANCEa measure of photographic clarity [n]
ACUTENESS,the state of being acute [n -ES]
ACYCLOVIR,a drug used in the treatment of herpes and HIValso ACICLOVIR [n -S]
ACYLATING,ACYLATEto introduce acyl into [v]
ACYLATION,the act of forming an acylate [n -S]
ADAMANCES,ADAMANCEunyielding hardness
ADAMANTLY,ADAMANTvery firm [adv]
ADAMSITES,ADAMSITEa lung-irritating gas [n]
ADAPTABLE,that can be adapted [adj]
ADAPTIONS,ADAPTIONthe act of adapting
ADAPTOGEN,any of various natural substances used in herbal medicine as regulators [n -S]
ADDEEMING,ADDEEM(obsolete) to award; to adjudge
ADDENDUMS,ADDENDUM(Latin) something to be added [n]
ADDERBEAD,a prehistoric ornamental beadalso ADDERSTONE [n -S]
ADDERWORT,the common bistortaka snakeweed [n -S]
ADDICTING,ADDICTto make dependent on esp. a drug [v]
ADDICTION,the state of being addicted [n -S]
ADDICTIVE,causing addiction [adj]
ADDITIONS,ADDITIONsomething added [n]
ADDITIVES,ADDITIVEa substance added to another to impart desirable qualities [n]
ADDLEMENT,the state of being addled [n -S]
ADDOOMING,ADDOOM(Spenser) to award; to adjudge
ADDRESSED,ADDRESSto speak to [v]
ADDRESSEE,one who is addressed [n -S]
ADDRESSER,one who addressesalso ADDRESSOR [n -S]
ADDRESSES,ADDRESSto speak to [v]
ADDRESSOR,one who addressesalso ADDRESSER [n -S]
ADDUCIBLE,capable of being adduced [adj]
ADDUCTING,ADDUCTto draw inward
ADDUCTION,the act of adducing or bringing forward [n -S]
ADDUCTIVE,adducingbringing towards or to something [adj]
ADDUCTORS,ADDUCTORan adducent muscle
ADEMPTION,the revoking by testatordonor
ADENOIDAL,relating to or like a glandalso ADENOID [adj]
ADENOMATA,ADENOMA(Greek) a tumor of glandular origin [n]
ADENOSINE,a nucleotide made up of adenine and ribose [n -S]
ADENYLATE,an enzyme with key regulatory roles in cellsaka adenyl cyclase [n -S]
ADEPTNESS,the state of being adept [n -ES]
ADESSIVES,ADESSIVEa grammatical case indicating place where or proximity to [n]
ADHERABLE,capable of adhering [adj]
ADHERENCE,the state of adhering [n -S]
ADHERENDS,ADHERENDthe surface to which an adhesive sticks [n]
ADHERENTS,ADHERENTa supporter [n]
ADHESIONS,ADHESIONthe act of sticking [n]
ADHESIVES,ADHESIVEa substance that causes adhesion [n]
ADHIBITED,ADHIBITto attach; to administer
ADHOCRACY,management that responds to urgent problems rather than planning to avoid them [n ADHOCRACIES]
ADIABATIC,without transference of heat [adj ADIABATICALLY] / a curve on a graph relating to an adiabatic processone without transfer of heat [n -S]
ADIAPHORA,ADIAPHORONa tenet or belief on which a theological system is indifferent [n]
ADIPOCERE,(Latin) a fatty substance occurring in corpses left in moist areas [n -S]
ADIPOCYTE,a fat cell [n -S]
ADIPOSITY,the state of being fat [n ADIPOSITIES]
ADJACENCE,the state of being adjacent or contiguousalso ADJACENCY [n -S]
ADJACENCY,the state of being adjacent or contiguousalso ADJACENCE [n ADJACENCIES]
ADJACENTS,ADJACENTin a right angled triangle
ADJECTIVE,addeddependent [adj ADJECTIVELY] / a word added to a noun to qualify it [n -S]
ADJOINING,ADJOINto lie next to [v]
ADJOURNED,ADJOURNto suspend until a later time [v]
ADJUDGING,ADJUDGEto decide; to award [v]
ADJUNCTLY,ADJUNCTattached [adv]
ADJUSTERS,ADJUSTERone who adjusts [n]
ADJUSTING,ADJUSTto bring to a more satisfactory state [v]
ADJUSTIVE,tending to adjust [adj]
ADJUSTORS,ADJUSTORone who adjusts
ADJUTAGES,ADJUTAGE(French) a tube added to or inserted into an aperture to control the outflow of water
ADJUTANCY,the office of an adjutant [n ADJUTANCIES]
ADJUTANTS,ADJUTANTan officer who assists superior officers by communicating orders
ADJUVANCY,the state of being adjuvantserving to aid [n ADJUVANCIES]
ADJUVANTS,ADJUVANTa substance added to make vaccine more effective [n]
ADMEASURE,to measure [v ADMEASUREDADMEASURING
ADMINICLE,that which supports or aidsesp. evidence [n -S]
ADMIRABLE,worthy of being admired [adj ADMIRABLY]
ADMIRABLY,ADMIRABLEworthy of being admired [adv]
ADMIRALTY,the office of admiral [n ADMIRALTIES]
ADMIRANCE,(Spenser) admirationalso ADMIRATION
ADMISSION,the act of admitting [n -S]
ADMISSIVE,relating to admission [adj]
ADMITTEES,ADMITTEEone that is admitted [n]
ADMITTERS,ADMITTERone who admits [n]
ADMITTING,ADMITto allow to enter; to confess [v]
ADMIXTURE,the action of mixing [n -S]
ADMONITOR,an admonisher; a monitor [n -S]
ADNASCENT,growing on some other thing [adj]
ADNATIONS,ADNATIONthe state of being adnate
ADNOMINAL,pertaining to an adnoun; adjectival [adj] / a word attached to a noun [n -S]
ADOBELIKE,like adobe [adj]
ADONISING,ADONISEto adorn (oneself)
ADONIZING,ADONIZEto adorn (oneself)
ADOPTABLE,capable of being adopted [adj]
ADOPTIONS,ADOPTIONthe act of adopting [n]
ADOPTIOUS,(Shakespeare) adopted [adj]
ADORATION,the act of adoring [n -S]
ADORINGLY,ADORINGADORE
ADORKABLE,(slang) socially inept or unfashionable in a charming or endearing way [adj]
ADORNMENT,the act of adorning [n -S]
ADPRESSED,ADPRESSto press together
ADPRESSES,ADPRESSto press together
ADREADING,ADREAD(obsolete) to dread [v]
ADRENALIN,a hormone secreted by the adrenal glandsalso ADRENALINE [n -S]
ADRENALLY,ADRENALrelating to the adrenal system [adv]
ADROITEST,ADROITskilful [adj]
ADSCRIPTS,ADSCRIPT(historical) a feudal serf attached to the soil [n]
ADSORBATE,a substance or molecules adsorbed [n -S]
ADSORBENT,a substance that adsorbs [n -S]
ADSORBERS,ADSORBERsomething that adsorbs [n]
ADSORBING,ADSORBto gather and hold another substance on the surface [v]
ADULARIAS,ADULARIAa transparent or translucent variety of common feldspar
ADULATING,ADULATEto fawn upon [v]
ADULATION,the act of adulating [n -S]
ADULATORS,ADULATORone who adulates [n]
ADULATORY,showing adulation [adj]
ADULTERER,one who commits adultery [n -S]
ADULTHOOD,the state of being an adult [n -S]
ADULTLIKE,like an adult [adj]
ADULTNESS,the state of being adult [n -ES]
ADULTRESS,a female adultereralso ADULTERESS [n -ES]
ADUMBRATE,to foreshadow vaguelyto intimate [v ADUMBRATED
ADUNCATED,hookedalso ADUNC
ADVANCERS,ADVANCERone who advances [n]
ADVANCING,ADVANCEto put forward
ADVANTAGE,to confer an advantagea favourable condition
ADVECTING,ADVECTto transport by the flow of a fluid [v]
ADVECTION,the horizontal movement of air [n -S]
ADVECTIVE,relating to advectionthe horizontal movement of air [adj]
ADVENTIVE,a thing or person coming from outside [n -S]
ADVENTURE,to riskto dare
ADVERBIAL,relating to an adverb [adj ADVERBIALLY] / an adverbial phrase [n -S]
ADVERSARY,an opponent [n ADVERSARIES]
ADVERSELY,ADVERSEacting against [adv]
ADVERSEST,ADVERSEacting against [adj]
ADVERSITY,a statecondition
ADVERTENT,attentiveheedful [adj ADVERTENTLY]
ADVERTING,ADVERTto refer to in speech or writing [v]
ADVERTISE,to draw attention to (a productservice
ADVERTIZE,to draw attention to (a productservice
ADVICEFUL,full of advice [adj]
ADVISABLE,sensibleto be recommended [adj]
ADVISABLY,ADVISABLEsensible
ADVISEDLY,ADVISEDADVISE
ADVISINGS,ADVISING(Shakespeare) counsel
ADVOCAATS,ADVOCAAT(Dutch) a liqueur containing rum and raw eggs [n]
ADVOCATED,ADVOCATEto plead in favour of [v]
ADVOCATES,ADVOCATEto plead in favour of [v]
ADVOCATOR,one who advocates [n ADVOCATORS]
ADVOUTRER,(obsolete) an adulterer [n -S]
ADVOWSONS,ADVOWSONthe right of presentation to a church benefice [n]
ADWARDING,ADWARD(Spenser) to award [v]
ADYNAMIAS,ADYNAMIAlack of physical strength [n]
AEDICULES,AEDICULEa door or window with columns beside and a pediment above [n]
AEGIRINES,AEGIRINEa green mineral
AEGIRITES,AEGIRITEa green mineral
AEGLOGUES,AEGLOGUE(archaic) a pastoral poem
AEGROTATS,AEGROTAT(archaic) an unclassified degree granted a university student prevented by illness from attending the final examinations [n]
AEOLIPILE,the first steam enginewith a globe made to revolve by steam jets
AEOLIPYLE,the first steam enginewith a globe made to revolve by steam jets
